"gene_short_name","id","WormCategory.1","WormCategory.2","WormCategory.3"
"Y22D7AL.4","WBGene00021244","Unassigned","Unassigned","Unassigned"
"Y22D7AL.11","WBGene00021249","Protein modification","Protein modification: carbohydrate","Protein modification: carbohydrate"
"Y22D7AL.3","WBGene00021243",NA,NA,NA
"Y22D7AL.12","WBGene00021250",NA,NA,NA
"Y22D7AL.13","WBGene00021251",NA,NA,NA
"Y22D7AL.1","WBGene00021241",NA,NA,NA
"cht-4","WBGene00021252","Extracellular material","Extracellular material: unassigned","Extracellular material: unassigned"
"Y22D7AL.15","WBGene00021253",NA,NA,NA
"Y22D7AL.16","WBGene00021254","Nucleic acid","Nucleic acid: binding","Nucleic acid: binding: zinc finger"
"Y22D7AR.3","WBGene00021257",NA,NA,NA
"glb-30","WBGene00021259","Globin","Globin","Globin"
"Y22D7AR.6","WBGene00021260","Signaling","Signaling: lipid","Signaling: lipid: kinase inositol"
"Y22D7AR.7","WBGene00021261",NA,NA,NA
"Y22D7AR.14","WBGene00021266",NA,NA,NA
"srd-64","WBGene00005141",NA,NA,NA
"fbxa-74","WBGene00021262",NA,NA,NA
"Y22D7AR.10","WBGene00021263",NA,NA,NA
"fbxa-13","WBGene00021264",NA,NA,NA
"Y22D7AR.2","WBGene00021256",NA,NA,NA
"ser-4","WBGene00004779","Neuronal function","Neuronal function: synaptic function","Neuronal function: synaptic function: neurotransmitter receptor"
"Y46E12A.3","WBGene00021593","Stress response","Stress response: thioredoxin","Stress response: thioredoxin"
"Y46E12A.5","WBGene00194738","Unassigned","Unassigned","Unassigned"
"Y46E12A.2","WBGene00021592",NA,NA,NA
"cnc-6","WBGene00000560","Stress response","Stress response: pathogen","Stress response: pathogen: caenacin"
"tbx-43","WBGene00044798","Transcription factor","Transcription factor: T box","Transcription factor: T box"
"Y39A3CL.4","WBGene00021442",NA,NA,NA
"Y39A3CL.3","WBGene00021441","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"rimb-1","WBGene00006513","Signaling","Signaling: small GTPase","Signaling: small GTPase: Rab"
"clp-4","WBGene00000545","Proteolysis general","Proteolysis general: cysteine","Proteolysis general: cysteine: calpain"
"pvf-1","WBGene00004249","Signaling","Signaling: VEGF","Signaling: VEGF"
"Y39A3CL.7","WBGene00021443","Unassigned","Unassigned","Unassigned"
"Y39A3CL.1","WBGene00021440","Unassigned","Unassigned","Unassigned"
"pqn-82","WBGene00004163","Unassigned","Unassigned","Unassigned: prion domain"
"hlh-33","WBGene00021446","Unassigned","Unassigned","Unassigned"
"Y39A3CR.5","WBGene00021445",NA,NA,NA
"ddp-1","WBGene00000941","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: translocase"
"ttc-7","WBGene00021444","Unassigned","Unassigned","Unassigned"
"smi-1","WBGene00004886","mRNA functions","mRNA functions: processing","mRNA functions: processing: snRNP"
"Y39A3CR.8","WBGene00021447",NA,NA,NA
"B0524.4","WBGene00015243",NA,NA,NA
"B0524.3","WBGene00015242",NA,NA,NA
"B0524.5","WBGene00015244",NA,NA,NA
"B0524.2","WBGene00015241","Signaling","Signaling: lipid","Signaling: lipid: phospholipase patatin"
"B0524.6","WBGene00015245","Unassigned","Unassigned","Unassigned"
"pqn-41","WBGene00004128","Unassigned","Unassigned","Unassigned: prion domain"
"F53A3.1","WBGene00018720","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"polh-1","WBGene00018721","DNA","DNA: repair","DNA: repair"
"rps-22","WBGene00004491","Ribosome","Ribosome: subunit","Ribosome: subunit"
"F53A3.7","WBGene00018723","Chaperone","Chaperone: unassigned","Chaperone: unassigned"
"mboa-6","WBGene00020115","Metabolism","Metabolism: lipid","Metabolism: lipid: phospholipid"
"moa-1","WBGene00020116",NA,NA,NA
"R155.5","WBGene00189953",NA,NA,NA
"R155.3","WBGene00020117",NA,NA,NA
"R155.4","WBGene00020118",NA,NA,NA
"srd-66","WBGene00005143",NA,NA,NA
"Y39A3B.7","WBGene00206512","Unassigned","Unassigned","Unassigned"
"Y39A3B.3","WBGene00021438",NA,NA,NA
"lgc-42","WBGene00021437","Transmembrane transport","Transmembrane transport: extracellular ligand gated channel","Transmembrane transport: extracellular ligand gated channel"
"Y39A3B.1","WBGene00021436","Unassigned","Unassigned","Unassigned"
"ckr-2","WBGene00021439","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"dpy-1","WBGene00001063","Extracellular material","Extracellular material: cuticlin","Extracellular material: cuticlin"
"M01E10.3","WBGene00019709",NA,NA,NA
"Y39A3A.2","WBGene00021433",NA,NA,NA
"ins-16","WBGene00002099",NA,NA,NA
"Y39A3A.3","WBGene00021434","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"Y39A3A.4","WBGene00021435",NA,NA,NA
"cpt-3","WBGene00021703",NA,NA,NA
"Y48G9A.9","WBGene00021702",NA,NA,NA
"ppk-2","WBGene00004088","Signaling","Signaling: lipid","Signaling: lipid: kinase PI4"
"Y48G9A.7","WBGene00021701",NA,NA,NA
"Y48G9A.11","WBGene00021704",NA,NA,NA
"Y48G9A.6","WBGene00021700",NA,NA,NA
"frl-1","WBGene00021698","Signaling","Signaling: WNT","Signaling: WNT"
"gcn-1","WBGene00021697",NA,NA,NA
"Y48G9A.12","WBGene00021705",NA,NA,NA
"C39B5.6","WBGene00016524",NA,NA,NA
"C39B5.5","WBGene00016523","Proteolysis general","Proteolysis general: inhibitor","Proteolysis general: inhibitor: cysteine"
"C39B5.14","WBGene00189950",NA,NA,NA
"fbxa-12","WBGene00016525",NA,NA,NA
"srd-65","WBGene00005142",NA,NA,NA
"fbxa-38","WBGene00016522",NA,NA,NA
"fbxa-62","WBGene00016521",NA,NA,NA
"fbxa-47","WBGene00016527",NA,NA,NA
"C39B5.2","WBGene00016520",NA,NA,NA
"C39B5.10","WBGene00016528",NA,NA,NA
"srz-56","WBGene00016519",NA,NA,NA
"srd-67","WBGene00005144",NA,NA,NA
"T20H9.6","WBGene00020642",NA,NA,NA
"fbxa-7","WBGene00020637",NA,NA,NA
"fbxa-73","WBGene00020640",NA,NA,NA
"fbxa-71","WBGene00020639",NA,NA,NA
"fbxa-43","WBGene00020638",NA,NA,NA
"fbxa-42","WBGene00044676",NA,NA,NA
"Y54F10BM.6","WBGene00021861",NA,NA,NA
"fbxa-9","WBGene00021860",NA,NA,NA
"fbxa-48","WBGene00021862",NA,NA,NA
"fbxa-39","WBGene00021859",NA,NA,NA
"Y54F10BM.3","WBGene00021858",NA,NA,NA
"fbxa-219","WBGene00044403",NA,NA,NA
"Y54F10BM.9","WBGene00021863",NA,NA,NA
"fbxa-1","WBGene00021864",NA,NA,NA
"Y54F10BM.20","WBGene00206486",NA,NA,NA
"fbxa-66","WBGene00021865",NA,NA,NA
"iffb-1","WBGene00021857","Ribosome","Ribosome: EIF","Ribosome: EIF"
"Y54F10BM.12","WBGene00021866","Unassigned","Unassigned","Unassigned"
"Y54F10BM.13","WBGene00021867","Signaling","Signaling: phosphatase","Signaling: phosphatase: dual specificity"
"Y54F10BM.1","WBGene00021856","Signaling","Signaling: phosphatase","Signaling: phosphatase: unassigned"
"phf-5","WBGene00004016","Transcription: general machinery","Transcription: general machinery: RNA Pol II","Transcription: general machinery: RNA Pol II: unassigned"
"gip-1","WBGene00001589","Cytoskeleton","Cytoskeleton: microtubule","Cytoskeleton: microtubule: tubulin modification"
"srd-69","WBGene00005146",NA,NA,NA
"H04J21.1","WBGene00019150",NA,NA,NA
"H14E04.2","WBGene00019199","Unassigned","Unassigned","Unassigned"
"H14E04.3","WBGene00019200","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"H14E04.4","WBGene00019201",NA,NA,NA
"cic-1","WBGene00000506","Transcription: general machinery","Transcription: general machinery: RNA Pol II","Transcription: general machinery: RNA Pol II: mediator"
"strm-1","WBGene00019198","Protein modification","Protein modification: methyltransferase","Protein modification: methyltransferase"
"mrpl-30","WBGene00021021","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: ribosome"
"W04B5.5","WBGene00021022","Signaling","Signaling: AKT","Signaling: AKT"
"W04B5.3","WBGene00021020","Extracellular material","Extracellular material: galectin","Extracellular material: galectin"
"W04B5.2","WBGene00021019",NA,NA,NA
"W04B5.6","WBGene00021023",NA,NA,NA
"E02H9.6","WBGene00017104",NA,NA,NA
"E02H9.7","WBGene00017105",NA,NA,NA
"klo-2","WBGene00017103","Metabolism","Metabolism: carbohydrate","Metabolism: carbohydrate"
"nhr-121","WBGene00003711","Transcription factor","Transcription factor: NHR","Transcription factor: NHR"
"E02H9.4","WBGene00017102",NA,NA,NA
"E02H9.3","WBGene00017101",NA,NA,NA
"E02H9.2","WBGene00017100",NA,NA,NA
"E02H9.9","WBGene00017106",NA,NA,NA
"E02H9.1","WBGene00017099",NA,NA,NA
"smg-6","WBGene00004884","mRNA functions","mRNA functions: processing","mRNA functions: processing: NMD"
"Y54F10AL.1","WBGene00021847","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"Y54F10AM.8","WBGene00021852","Signaling","Signaling: lipid","Signaling: lipid: phospholipase B"
"Y54F10AM.6","WBGene00021850","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"rbc-2","WBGene00004314","Unassigned","Unassigned","Unassigned"
"Y54F10AM.5","WBGene00021849","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: complex I"
"ceh-44","WBGene00000464","Transcription factor","Transcription factor: homeodomain","Transcription factor: homeodomain"
"feh-1","WBGene00001410","Unassigned","Unassigned","Unassigned"
"nhr-239","WBGene00021848","Transcription factor","Transcription factor: NHR","Transcription factor: NHR"
"Y54F10AM.11","WBGene00021853",NA,NA,NA
"Y54F10AR.2","WBGene00021855","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"Y54F10AR.1","WBGene00021854","Transmembrane transport","Transmembrane transport: lipid","Transmembrane transport: lipid"
"Y71H2B.8","WBGene00022197","Unassigned","Unassigned","Unassigned"
"apb-1","WBGene00000160","Signaling","Signaling: unassigned","Signaling: unassigned"
"gpa-17","WBGene00022196","Signaling","Signaling: heteromeric G protein","Signaling: heteromeric G protein: G alpha subunit"
"mdt-19","WBGene00007019",NA,NA,NA
"Y71H2B.11","WBGene00022198",NA,NA,NA
"Y71H2B.5","WBGene00022195","Unassigned","Unassigned","Unassigned"
"Y71H2B.4","WBGene00022194","Unassigned","Unassigned","Unassigned"
"ppfr-4","WBGene00022193","Signaling","Signaling: phosphatase","Signaling: phosphatase: unassigned"
"Y71H2B.2","WBGene00022192","mRNA functions","mRNA functions: processing","mRNA functions: processing: export"
"Y71H2B.1","WBGene00022191","Metabolism","Metabolism: lipid","Metabolism: lipid: fatty acid"
"zmp-2","WBGene00019212","Proteolysis general","Proteolysis general: metallopeptidase","Proteolysis general: metallopeptidase"
"let-805","WBGene00002915","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"pbo-1","WBGene00003941","Signaling","Signaling: unassigned","Signaling: unassigned"
"Y71H2AL.2","WBGene00022165","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"Y71H2AM.9","WBGene00022174","Transmembrane transport","Transmembrane transport: solute carrier","Transmembrane transport: solute carrier"
"set-27","WBGene00022173","Protein modification","Protein modification: methyltransferase","Protein modification: methyltransferase"
"Y71H2AM.10","WBGene00022175","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"Y71H2AM.11","WBGene00022176","Proteolysis general","Proteolysis general: metallopeptidase","Proteolysis general: metallopeptidase"
"cosa-1","WBGene00022172","Cell cycle","Cell cycle: chromosome dynamics","Cell cycle: chromosome dynamics: meiotic functions"
"Y71H2AM.12","WBGene00022177","Signaling","Signaling: small GTPase","Signaling: small GTPase: Rho/Rac"
"Y71H2AM.13","WBGene00022178","Metabolism","Metabolism: lipid","Metabolism: lipid: sterol"
"Y71H2AM.14","WBGene00022179",NA,NA,NA
"Y71H2AM.15","WBGene00022180","Signaling","Signaling: Y kinase","Signaling: Y kinase"
"pho-9","WBGene00022181","Lysosome","Lysosome: acid phosphatase","Lysosome: acid phosphatase"
"swsn-3","WBGene00022182","Transcription: chromatin","Transcription: chromatin modification","Transcription: chromatin modification: SWI/SNF"
"laf-1","WBGene00002244","mRNA functions","mRNA functions: processing","mRNA functions: processing: helicase"
"Y71H2AM.6","WBGene00022171","Metabolism","Metabolism: nucleotide","Metabolism: nucleotide"
"Y71H2AM.20","WBGene00022185","Signaling","Signaling: phosphatase","Signaling: phosphatase: unassigned"
"Y71H2AM.5","WBGene00022170","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: complex IV"
"Y71H2AM.4","WBGene00022169","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: complex I"
"tbcc-1","WBGene00044609","Cytoskeleton","Cytoskeleton: microtubule","Cytoskeleton: microtubule: tubulin modification"
"twk-45","WBGene00006695",NA,NA,NA
"Y71H2AM.25","WBGene00044760",NA,NA,NA
"Y71H2AM.3","WBGene00022168","Proteolysis proteasome","Proteolysis proteasome: E3","Proteolysis proteasome: E3: unassigned"
"tufm-1","WBGene00007000","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: gene expression"
"Y71H2AM.2","WBGene00022167","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"Y71H2AM.1","WBGene00022166",NA,NA,NA
"Y71H2AR.1","WBGene00022188","Stress response","Stress response: thioredoxin","Stress response: thioredoxin"
"josd-1","WBGene00022190","Proteolysis proteasome","Proteolysis proteasome: ubiquitin peptidase","Proteolysis proteasome: ubiquitin peptidase"
"Y71H2AR.2","WBGene00022189",NA,NA,NA
"H34I24.2","WBGene00019261","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"H34I24.1","WBGene00019260",NA,NA,NA
"F56F11.4","WBGene00018991","Proteolysis proteasome","Proteolysis proteasome: 19S","Proteolysis proteasome: 19S"
"klf-1","WBGene00018990","Metabolism","Metabolism: lipid","Metabolism: lipid: unassigned"
"F56F11.2","WBGene00018989","Unassigned","Unassigned","Unassigned"
"F56F11.1","WBGene00018988","Unassigned","Unassigned","Unassigned"
"T20B6.2","WBGene00020598",NA,NA,NA
"T20B6.1","WBGene00020597",NA,NA,NA
"T20B6.3","WBGene00020599","Unassigned","Unassigned","Unassigned"
"cdh-1","WBGene00019994","Cytoskeleton","Cytoskeleton: cadherin","Cytoskeleton: cadherin"
"R10F2.4","WBGene00019995",NA,NA,NA
"R10F2.5","WBGene00019996",NA,NA,NA
"R10F2.6","WBGene00019997","Signaling","Signaling: phosphatase","Signaling: phosphatase: Y "
"H05C05.4","WBGene00194747","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"H05C05.1","WBGene00019157","Ribosome","Ribosome: EIF","Ribosome: EIF"
"H05C05.2","WBGene00019158",NA,NA,NA
"H05C05.3","WBGene00019159",NA,NA,NA
"Y55D5A.2","WBGene00021916",NA,NA,NA
"Y55D5A.3","WBGene00021917","Metabolism","Metabolism: unassigned","Metabolism: unassigned"
"Y55D5A.1","WBGene00021915","Unassigned","Unassigned","Unassigned"
"Y55D5A.4","WBGene00021918","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"daf-2","WBGene00000898","Stress response","Stress response: dauer","Stress response: dauer"
"cutl-25","WBGene00021919","Extracellular material","Extracellular material: cuticlin","Extracellular material: cuticlin"
"H06I04.5","WBGene00019169",NA,NA,NA
"fipr-29","WBGene00019171",NA,NA,NA
"H06I04.6","WBGene00019170","Transmembrane protein","Transmembrane protein: seven transmembrane receptor","Transmembrane protein: seven transmembrane receptor: unassigned"
"ubl-1","WBGene00006725","Proteolysis proteasome","Proteolysis proteasome: ubiquitin","Proteolysis proteasome: ubiquitin"
"H06I04.3","WBGene00019168","Protein modification","Protein modification: methyltransferase","Protein modification: methyltransferase"
"sft-1","WBGene00004787","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: cytochrome c oxidase assembly factor"
"H06I04.1","WBGene00019167","Unassigned","Unassigned","Unassigned"
"Y53G8B.2","WBGene00021818","Metabolism","Metabolism: lipid","Metabolism: lipid: phospholipid"
"nipa-1","WBGene00021820","Transmembrane transport","Transmembrane transport: unassigned","Transmembrane transport: unassigned"
"Y53G8B.1","WBGene00021817","Stress response","Stress response: detoxification","Stress response: detoxification: GST"
"mec-12","WBGene00003175","Cytoskeleton","Cytoskeleton: microtubule","Cytoskeleton: microtubule: tubulin"
"C44B11.4","WBGene00016634","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"C44B11.6","WBGene00016635",NA,NA,NA
"C44B11.1","WBGene00016633",NA,NA,NA
"R148.5","WBGene00020104","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"R148.4","WBGene00020103",NA,NA,NA
"R148.3","WBGene00020102",NA,NA,NA
"lmtr-5","WBGene00020101","Lysosome","Lysosome: unassigned","Lysosome: unassigned"
"mks-1","WBGene00020100","Cilia","Cilia: transition zone","Cilia: transition zone: MKS module"
"R148.7","WBGene00020105","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"heh-1","WBGene00006452","Metabolism","Metabolism: lipid","Metabolism: lipid: sterol"
"frm-8","WBGene00001494","Signaling","Signaling: unassigned","Signaling: unassigned"
"H09G03.1","WBGene00019174",NA,NA,NA
"Y53G8AL.1","WBGene00021799",NA,NA,NA
"Y53G8AL.2","WBGene00021800","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: complex I"
"Y53G8AL.4","WBGene00050917","Unassigned","Unassigned","Unassigned"
"Y53G8AL.3","WBGene00021801",NA,NA,NA
"Y53G8AM.4","WBGene00021804",NA,NA,NA
"Y53G8AM.5","WBGene00021805","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"Y53G8AM.6","WBGene00021806",NA,NA,NA
"Y53G8AM.7","WBGene00021807",NA,NA,NA
"Y53G8AM.8","WBGene00021808","Nucleic acid","Nucleic acid: binding","Nucleic acid: binding: unassigned"
"Y53G8AM.2","WBGene00021803",NA,NA,NA
"Y53G8AR.7","WBGene00021814","Transmembrane transport","Transmembrane transport: major facilitator","Transmembrane transport: major facilitator"
"Y53G8AR.8","WBGene00021815","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: complex I"
"Y53G8AR.6","WBGene00021813","mRNA functions","mRNA functions: processing","mRNA functions: processing: unassigned"
"Y53G8AR.5","WBGene00021812","Proteolysis proteasome","Proteolysis proteasome: E3","Proteolysis proteasome: E3: RING finger"
"ral-1","WBGene00021811","Signaling","Signaling: small GTPase","Signaling: small GTPase: Ras"
"Y53G8AR.9","WBGene00021816","Nucleic acid","Nucleic acid: binding","Nucleic acid: binding: zinc finger"
"phf-15","WBGene00021810","Development","Development: general","Development: general"
"Y53G8AR.1","WBGene00021809",NA,NA,NA
"gei-1","WBGene00001559","Signaling","Signaling: small GTPase","Signaling: small GTPase: Rho/Rac"
"prk-2","WBGene00004183","Signaling","Signaling: S/T kinase","Signaling: S/T kinase"
"hecw-1","WBGene00009738","Proteolysis proteasome","Proteolysis proteasome: E3","Proteolysis proteasome: E3: HECT"
"C56G7.3","WBGene00008348","Signaling","Signaling: small GTPase","Signaling: small GTPase: ARF"
"mlc-4","WBGene00003372","Muscle function","Muscle function","Muscle function"
"cri-3","WBGene00010303","Unassigned","Unassigned","Unassigned"
"clpf-1","WBGene00010304","mRNA functions","mRNA functions: processing","mRNA functions: processing: polyadenylation"
"npp-9","WBGene00003795","Nuclear pore","Nuclear pore: transport","Nuclear pore: transport"
"F59A2.5","WBGene00010305","Unassigned","Unassigned","Unassigned"
"F59A2.2","WBGene00010302",NA,NA,NA
"golg-4","WBGene00010306","Trafficking","Trafficking: ER/Golgi","Trafficking: ER/Golgi: Golgi unassigned"
"K01A11.2","WBGene00010450","Protein modification","Protein modification: methyltransferase","Protein modification: methyltransferase"
"K01A11.1","WBGene00010449","Unassigned","Unassigned","Unassigned"
"spe-41","WBGene00004976","Transmembrane transport","Transmembrane transport: calcium channel","Transmembrane transport: calcium channel"
"K01A11.3","WBGene00010451",NA,NA,NA
"C34C12.12","WBGene00219295",NA,NA,NA
"C34C12.1","WBGene00007920",NA,NA,NA
"C34C12.2","WBGene00007921",NA,NA,NA
"C34C12.8","WBGene00007927","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: unassigned"
"pph-6","WBGene00007922","Signaling","Signaling: phosphatase","Signaling: phosphatase: unassigned"
"C34C12.4","WBGene00007923","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"rsu-1","WBGene00007924","Unassigned","Unassigned","Unassigned"
"C34C12.9","WBGene00007928","Unassigned","Unassigned","Unassigned"
"C34C12.6","WBGene00007925","Unassigned","Unassigned","Unassigned"
"C34C12.7","WBGene00007926","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"gly-14","WBGene00001639","Protein modification","Protein modification: carbohydrate","Protein modification: carbohydrate"
"M01F1.9","WBGene00010815","Signaling","Signaling: small GTPase","Signaling: small GTPase: Rab"
"M01F1.8","WBGene00010814","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"rpl-16","WBGene00004428","Ribosome","Ribosome: subunit","Ribosome: subunit"
"M01F1.3","WBGene00010809","Metabolism","Metabolism: unassigned","Metabolism: unassigned"
"M01F1.4","WBGene00010810","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"mrpl-35","WBGene00010812","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: ribosome"
"hmit-1.3","WBGene00010811","Transmembrane transport","Transmembrane transport: lipid","Transmembrane transport: lipid"
"pitp-1","WBGene00010813","Metabolism","Metabolism: lipid","Metabolism: lipid: phospholipid"
"rpl-37","WBGene00004451",NA,NA,NA
"C54C6.6","WBGene00008288","Cilia","Cilia: unassigned","Cilia: unassigned"
"ben-1","WBGene00000248","Cytoskeleton","Cytoskeleton: microtubule","Cytoskeleton: microtubule: tubulin"
"C54C6.7","WBGene00044166",NA,NA,NA
"C54C6.11","WBGene00219296",NA,NA,NA
"C54C6.5","WBGene00008287","Unassigned","Unassigned","Unassigned"
"C54C6.4","WBGene00008286","Unassigned","Unassigned","Unassigned: membrane spanning domain"
"nhr-6","WBGene00003605","Transcription factor","Transcription factor: NHR","Transcription factor: NHR"
"C48D5.3","WBGene00008180","Unassigned","Unassigned","Unassigned"
"ptp-1","WBGene00004213","Signaling","Signaling: phosphatase","Signaling: phosphatase: Y "
"sel-8","WBGene00004765","Signaling","Signaling: Notch","Signaling: Notch"
"mrps-31","WBGene00007859","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: ribosome"
"rilp-1","WBGene00007860","Signaling","Signaling: small GTPase","Signaling: small GTPase: Rab"
"unc-93","WBGene00006822","Transmembrane transport","Transmembrane transport: potassium channel","Transmembrane transport: potassium channel"
"madf-8","WBGene00008118","Unassigned","Unassigned","Unassigned: MADF domain"
"gsr-1","WBGene00008117","Metabolism","Metabolism: glutathione","Metabolism: glutathione"
"C46F11.5","WBGene00008120","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"C46F11.4","WBGene00008119","mRNA functions","mRNA functions: processing","mRNA functions: processing: helicase"
"C46F11.6","WBGene00008121","Proteolysis proteasome","Proteolysis proteasome: ubiquitin","Proteolysis proteasome: ubiquitin"
"npr-15","WBGene00012084","Neuronal function","Neuronal function: synaptic function","Neuronal function: synaptic function: neuropeptide"
"cyn-9","WBGene00000885","Chaperone","Chaperone: cyclophilin","Chaperone: cyclophilin"
"pdi-1","WBGene00003962","Protein modification","Protein modification: unassigned","Protein modification: unassigned"
"C14B1.2","WBGene00007573","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"C14B1.3","WBGene00007574","Proteolysis proteasome","Proteolysis proteasome: E3","Proteolysis proteasome: E3: F box"
"wdr-5.1","WBGene00006474","Transcription: chromatin","Transcription: chromatin modification","Transcription: chromatin modification: unassigned"
"dph-1","WBGene00007576","Unassigned","Unassigned","Unassigned"
"alkb-8","WBGene00007581","Non-coding RNA","Non-coding RNA: tRNA","Non-coding RNA: tRNA: methylation"
"nrde-1","WBGene00007577","Non-coding RNA","Non-coding RNA: small RNA","Non-coding RNA: small RNA: unassigned"
"C14B1.8","WBGene00007579","Unassigned","Unassigned","Unassigned"
"C14B1.12","WBGene00184990","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"C14B1.9","WBGene00007580","Unassigned","Unassigned","Unassigned"
"F34D10.9","WBGene00045484","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"evl-18","WBGene00009372","Cell cycle","Cell cycle: unassigned","Cell cycle: unassigned"
"F34D10.8","WBGene00009377",NA,NA,NA
"F34D10.3","WBGene00009373","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"F34D10.4","WBGene00009374",NA,NA,NA
"lin-48","WBGene00003033","Transcription factor","Transcription factor: ZF","Transcription factor: ZF"
"F34D10.6","WBGene00009375","Unassigned","Unassigned","Unassigned"
"C44F1.1","WBGene00008091","Unassigned","Unassigned","Unassigned"
"gmeb-3","WBGene00008092",NA,NA,NA
"lec-4","WBGene00002267","Extracellular material","Extracellular material: galectin","Extracellular material: galectin"
"acy-3","WBGene00000070","Signaling","Signaling: heteromeric G protein","Signaling: heteromeric G protein: adenylyl cyclase"
"mtm-3","WBGene00003476","Signaling","Signaling: lipid","Signaling: lipid: phosphatase"
"xbx-5","WBGene00011974","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"toh-1","WBGene00006591","Proteolysis general","Proteolysis general: metallopeptidase","Proteolysis general: metallopeptidase"
"dpy-27","WBGene00001086","Transcription: dosage compensation","Transcription: dosage compensation","Transcription: dosage compensation"
"amx-1","WBGene00000137","Transcription: chromatin","Transcription: chromatin modification","Transcription: chromatin modification: demethylase"
"cnnm-5","WBGene00011260","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned"
"C36A4.10","WBGene00007970",NA,NA,NA
"cyp-25A1","WBGene00007963",NA,NA,NA
"cyp-25A2","WBGene00007964","Stress response","Stress response: detoxification","Stress response: detoxification: CYP"
"cyp-25A3","WBGene00014697",NA,NA,NA
"C36A4.11","WBGene00044167",NA,NA,NA
"C36A4.4","WBGene00007965",NA,NA,NA
"maph-1.3","WBGene00007966","Cytoskeleton","Cytoskeleton: microtubule","Cytoskeleton: microtubule: binding"
"cyp-25A4","WBGene00007967",NA,NA,NA
"brc-1","WBGene00000264","DNA","DNA: repair","DNA: repair"
"acs-19","WBGene00007969","Metabolism","Metabolism: lipid","Metabolism: lipid: fatty acid"
"rpl-3","WBGene00004414","Ribosome","Ribosome: subunit","Ribosome: subunit"
"tir-1","WBGene00006575","Stress response","Stress response: pathogen","Stress response: pathogen: signaling"
"mmcm-1","WBGene00014202","Metabolism","Metabolism: B12","Metabolism: B12"
"pat-3","WBGene00003930","Cytoskeleton","Cytoskeleton: integrin","Cytoskeleton: integrin"
"ccdc-47","WBGene00014204","Unassigned","Unassigned","Unassigned"
"ZK1058.3","WBGene00014203","Metabolism","Metabolism: carbohydrate","Metabolism: carbohydrate"
"ZK1058.5","WBGene00014205","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"nit-1","WBGene00014206","Metabolism","Metabolism: unassigned","Metabolism: unassigned"
"ZK1058.9","WBGene00014207","Unassigned","Unassigned","Unassigned: regulated by multiple stresses"
"F37A8.1","WBGene00009501",NA,NA,NA
"F37A8.2","WBGene00009502",NA,NA,NA
"nlp-10","WBGene00003748","Neuronal function","Neuronal function: synaptic function","Neuronal function: synaptic function: neuropeptide"
